184/102-126,
184/49-51,
186/30-38,
185/4,
185/20,
185/34, Very cool
185/7,
185/72,
185/32,
186/44,
185/76,
186/39,
185/5,
185/3,
185/75,
185/8,
185/31,
185/69,
184/123,
186/40,
185/6,
186/41,
185/74,
185/68,
185/70,
185/77,
185/9,
185/120,
185/33,
185/73,
185/10, very cool 
186/48,
186/42,
185/30,
184/78,
185/22,
185/12,
185/29,
185/121,
186/49,
186/65,
184/79,
184/70,
186/31,
186/64,
185/2,
186/43,
184/80,
184/81,
186/50,
185/71,
186/45,
170/61, 
170/60,
170/62,
188/58-65,Update 28th
188/42,Update 28th
188/41,Update 28th
188/36,Update 28th
188/35,Update 28th
188/33,Update 28th
188/32,Update 28th
188/31,Update 28th
188/30,Update 28th
188/29,Update 28th
188/24,Update 28th
188/21,Update 28th
188/20,Update 28th
188/19,Update 28th
188/18,Update 28th
188/16,Update 28th
188/14,Update 28th
188/12,Update 28th
169/77,Update 28th
168/84,Update 28th
168/74,Update 28th
168/83,Update 28th

187/42,Cst
187/50,
187/82-92,
187/93,
187/94,
187/32,
187/8,
187/1,
186/106,
186/72-75,
183/66,
183/65,

181/126,
181/125,
181/124,
181/111,
181/110,
181/109,
181/108,
181/101,
181/99,

197/124,
197/126-127,
197/101-102,
197/110-113,
197/116-123,
191/41-42,
190/127-128,
189/40,
195/101-103,
195/120,
196/20-24,
196/106,
198/0-2,
198/38-43, 
198/106, 
199/37,
199/40-42,
199/74,
200/70,
200/118-123,
201/60-62,
212/26,
212/24,
211/118-124,
211/32-33,
211/38,
207/12-26,
213/32,
213/88-90,
213/96-99,
214/5-8,
214/10,
214/55-56,
214/60,
215/17,
215/104-105,
215/108-109,
215/124-126,
216/0,

216/86-90,December 8th update 2008
216/125-127,December 8th update 2008
217/23-24,December 8th update 2008
217/15-16,December 8th update 2008
217/29,December 8th update 2008
218/123,December 8th update 2008
219/53-55,December 8th update 2008
219/92-101,December 8th update 2008
219/105,December 8th update 2008
219/108,December 8th update 2008
225/6-10,October 29TH Update 2009
225/34,October 29TH Update 2009
225/122,(Ring) October 29TH Update 2009
226/17,October 29TH Update 2009
226/19-20,October 29TH Update 2009
226/37-39,October 29TH Update 2009

196/53,unknown Spells

222/43,update 20th 09
222/82,update 20th 09
222/88,update 20th 09
222/120-122,update 20th 09
222/125-127,update 20th 09
223/0-3,update 20th 09
223/39-42,update 20th 09
223/56-59,update 20th 09
223/67-72,Dice update 20th 09
223/114-116,update 20th 09
224/20,update 20th 09
224/25-31,update 20th 09
224/34-37,update 20th 09
224/53,update 20th 09
224/68,update 20th 09
224/76-81,update 20th 09
225/6-10,Update 9-11-9
225/34,Update 9-11-9
225/123-126,Update 9-11-9 (Objects)
225/127,Update 9-11-9
226/37-39,Update 9-11-9
226/51,Update 9-11-9
230/30,Update 9-11-9
230/91,Update 9-11-9
230/92-94,Update 9-11-9 (Snow Balls)
230/95-102,Update 9-11-9
231/48,Update 9-11-9 (Snow hill)
231/50-51,Update 9-11-9
231/69-76,Update 9-11-9
234/113-123,Update 9-11-9 (Awesome Stuff)
235/1-2,Update 9-11-9 (Awesome Stuff)
238/40-45,Update 9-11-9

238/52-57, March 22nd Update 2010
238/60-73, March 22nd Update 2010
238/92-94, March 22nd Update 2010
239/16-22, March 22nd Update 2010
239/37, March 22nd Update 2010
239/50-54, March 22nd Update 2010
239/56, March 22nd Update 2010
239/63, March 22nd Update 2010
239/67, March 22nd Update 2010
239/85-90, March 22nd Update 2010
239/96, March 22nd Update 2010
239/99, March 22nd Update 2010
239/106, March 22nd Update 2010
239/119-120, March 22nd Update 2010

241/90-91, June 10th Update 2010
241/95-110, June 10th Update 2010
243/107-114, June 10th Update 2010
245/40-41, June 10th Update 2010
246/69, June 10th Update 2010
246/73-74, June 10th Update 2010
246/115, June 10th Update 2010
247/22-23, June 10th Update 2010
249/73-115, Misc. Attacks
249/117-127, June 10th Update 2010
250/0-1, June 10th Update 2010
250/3-6, June 10th Update 2010
250/18, June 10th Update 2010
250/28, June 10th Update 2010
250/36-37, June 10th Update 2010

1/254/16-17, August 31st Update 2010
1/254/53-55, August 31st Update 2010
1/254/59, August 31st Update 2010
1/254/73, August 31st Update 2010
1/254/117-124;1/254/126-127, August 31st Update 2010
1/254/125, Abyssobugard (Tyrant Tusk)
1/255/6-9, August 31st Update 2010
1/255/44-46, August 31st Update 2010
1/256/24, August 31st Update 2010
1/257/72, August 31st Update 2010
1/258/31, August 31st Update 2010
1/258/32, (Schedule S002)
1/258/33, (Schedule S001)
1/258/33, (Schedule S000)
1/258/37, (Schedule tm00)
1/258/38, August 31st Update 2010
1/258/39, (Schedule tm01)
1/258/54-55, August 31st Update 2010
1/258/64-86, Misc. Attacks
1/258/108, (Schedule S000)
1/250/81, September 8th Update 2010
1/250/82, September 8th Update 2010
1/250/83, September 8th Update 2010
1/250/84, September 8th Update 2010
1/250/85, (Schedule tar1)
1/250/86, (Schedule tar1)
1/250/87, (Schedule tar1)

259/18-28;259/71-72;261/47-49;261/58,Misc. Attacks
261/64-65;261/112-114;261/120-127;262/0;262/17-18;262/20;262/22-27;262/71;262/85;262/89-90;262/104, November 30th Update 2010
262/75;262/77-82;262/82-85;262/91;262/94-96, (Schedule S000)
262/74;262/86;262/88, (Schedule s001)
262/99, (Schedule sl00)
262/54-60, (Schedule tar1)

261/118;262/52-53;262/108-109;262/113-114;262/118-127;263/7-8;263/35-51;263/54;263/97;263/112-118;263/120-121;264/6;264/9;264/10-20;265/12-19;265/22-24,May 9th Update 2011

265/35;266/70;266/111-113, July 11th Update 2011